Template,Q,QNER,QNE,QURI,RP,ANE,AURI
اثر <ENT> چه ژانری دارد ؟,اثر تیکو تورس چه ژانری دارد ؟,"[('اثر', 'O'), ('تیکو', 'B_ent'), ('تورس', 'I_ent'), ('چه', 'O'), ('ژانری', 'O'), ('دارد', 'O'), ('؟', 'O')]",تیکو تورس,['http://fkg.iust.ac.ir/resource/تیکو_تورس'],ns0__genre,"['موسیقی بلوز', 'موسیقی هوی متال', 'گلم متال', 'موسیقی راک', 'جز فیوژن', 'هارد راک']","['http://fkg.iust.ac.ir/resource/موسیقی_بلوز', 'http://fkg.iust.ac.ir/resource/موسیقی_هوی_متال', 'http://fkg.iust.ac.ir/resource/گلم_متال', 'http://fkg.iust.ac.ir/resource/موسیقی_راک', 'http://fkg.iust.ac.ir/resource/جز_فیوژن', 'http://fkg.iust.ac.ir/resource/هارد_راک']"
زادگاه  <ENT> کجاست ؟‌,زادگاه لائورا بنانتی کجاست ؟‌,"[('زادگاه', 'O'), ('لائورا', 'B_ent'), ('بنانتی', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",لائورا بنانتی,['http://fkg.iust.ac.ir/resource/لائورا_بنانتی'],ns0__birthPlace,['نیویورک'],['http://fkg.iust.ac.ir/resource/نیویورک']
<ENT> در کجا متولد شد ؟, شاه‌سوار سلطان در کجا متولد شد ؟,"[('شاه\u200cسوار', 'B_ent'), ('سلطان', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",شاه‌سوار سلطان,['http://fkg.iust.ac.ir/resource/شاه\u200cسوار_سلطان'],ns0__birthPlace,['صربی'],['http://fkg.iust.ac.ir/resource/صربی']
<ENT> به چه جنسی تعلق دارد ؟, گل‌شکاف گلوسیاه به چه جنسی تعلق دارد ؟,"[('گل\u200cشکاف', 'B_ent'), ('گلوسیاه', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",گل‌شکاف گلوسیاه,['http://fkg.iust.ac.ir/resource/گل\u200cشکاف_گلوسیاه'],ns0__order_&_ns0__family_&_ns0__genus,"['گنجشک سانان', 'فرخنده  پرنده', 'گل شکاف']","['http://fkg.iust.ac.ir/resource/گنجشک\u200cسانان', 'http://fkg.iust.ac.ir/resource/فرخنده_(پرنده)', 'http://fkg.iust.ac.ir/resource/گل\u200cشکاف']"
<ENT> در چه شهری قرار دارد ؟, نیزل در چه شهری قرار دارد ؟,"[('نیزل', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",نیزل,['http://fkg.iust.ac.ir/resource/نیزل'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان مریوان', 'بخش مرکزی شهرستان مریوان']","['http://fkg.iust.ac.ir/resource/شهرستان_مریوان', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_مریوان']"
<ENT> در کجا متولد شد ؟, استبان گرانرو در کجا متولد شد ؟,"[('استبان', 'B_ent'), ('گرانرو', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",استبان گرانرو,['http://fkg.iust.ac.ir/resource/استبان_گرانرو'],ns0__birthPlace,"['اسپانیا', 'مادرید']","['http://fkg.iust.ac.ir/resource/اسپانیا', 'http://fkg.iust.ac.ir/resource/مادرید']"
<ENT> در چه منطقه ای است ؟, دول کوه در چه منطقه ای است ؟,"[('دول', 'B_ent'), ('کوه', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",دول کوه,['http://fkg.iust.ac.ir/resource/دول_کوه'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان ماسال', 'بخش مرکزی شهرستان ماسال']","['http://fkg.iust.ac.ir/resource/شهرستان_ماسال', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_ماسال']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در استراحتگاه خصوصی نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('استراحتگاه', 'B_ent'), ('خصوصی', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",استراحتگاه خصوصی,['http://fkg.iust.ac.ir/resource/استراحتگاه_خصوصی'],ns0__starring,"['لزلی ایستربروک', 'ددی گودمن', 'جانی دپ', 'راب مورو', 'اندرو دایس کلی']","['http://fkg.iust.ac.ir/resource/لزلی_ایستربروک', 'http://fkg.iust.ac.ir/resource/ددی_گودمن', 'http://fkg.iust.ac.ir/resource/جانی_دپ', 'http://fkg.iust.ac.ir/resource/راب_مورو', 'http://fkg.iust.ac.ir/resource/اندرو_دایس_کلی']"
زادگاه  <ENT> کجاست ؟‌,زادگاه کمی کینگ کجاست ؟‌,"[('زادگاه', 'O'), ('کمی', 'B_ent'), ('کینگ', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",کمی کینگ,['http://fkg.iust.ac.ir/resource/کمی_کینگ'],ns0__birthPlace,"['کالیفرنیا', 'ایالات متحده آمریکا', 'لس آنجلس']","['http://fkg.iust.ac.ir/resource/کالیفرنیا', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا', 'http://fkg.iust.ac.ir/resource/لس_آنجلس']"
چه کسی تهیه کننده  <ENT> است ؟,چه کسی تهیه کننده گلاب بپاش است ؟,"[('چه', 'O'), ('کسی', 'O'), ('تهیه', 'O'), ('کننده', 'O'), ('گلاب', 'B_ent'), ('بپاش', 'I_ent'), ('است', 'O'), ('؟', 'O')]",گلاب بپاش,['http://fkg.iust.ac.ir/resource/گلاب_بپاش'],ns0__producer,"['مسعود رسام', 'بیژن بیرنگ']","['http://fkg.iust.ac.ir/resource/مسعود_رسام', 'http://fkg.iust.ac.ir/resource/بیژن_بیرنگ']"
<ENT> در چه شهری قرار دارد ؟, کل شور در چه شهری قرار دارد ؟,"[('کل', 'B_ent'), ('شور', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",کل شور,['http://fkg.iust.ac.ir/resource/کل_شور'],ns0__location_&_ns0__district_&_ns0__part,"['بخش لنده', 'شهرستان کهگیلویه']","['http://fkg.iust.ac.ir/resource/بخش_لنده', 'http://fkg.iust.ac.ir/resource/شهرستان_کهگیلویه']"
ستاره معروف <ENT> کیست ؟,ستاره معروف  پلیس بازار کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('پلیس', 'B_ent'), ('بازار', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]", پلیس بازار,"['http://fkg.iust.ac.ir/resource/پل_بلارت:_پلیس_بازار_۲', 'http://fkg.iust.ac.ir/resource/پل_بلارت:_پلیس_بازار']",ns0__starring,"['باب کلندنین', 'Eduardo Verástegui', 'تاد گارنر', 'مکس الکساندر', 'شرلی نایت', 'Lauren Ash', 'رینی رادریگز', 'گری والنتین', 'Deven May', 'استیو وین', 'دیوید هنری', 'Delia Sheppard', 'دنیلا آلونسو', 'آنا گستایر', 'Conrad Goode', 'Adhir Kalyan', 'Bas Rutten', 'نیال مک دوناف', 'کوین جیمز', 'پائولا تریکی', 'Vic Dibitetto', 'لونی لاو', 'لورنزو جیمز هنری', 'دی  بی  وودساید', 'جکی سندلر', 'نیکولاس تورتورو', 'پیتر گرتی', 'شرلی نایت', 'جکی سندلر', 'جیما مایز', 'Keir O Donnell', 'اریک آواری', 'Bas Rutten', 'بابی کاناوله', 'کوین جیمز', 'آلن کاورت', 'رینی رادریگز', 'جیسون الیس', 'آدام فرارا']","['http://fkg.iust.ac.ir/resource/باب_کلندنین', 'http://fkg.iust.ac.ir/resource/Eduardo_Verástegui', 'http://fkg.iust.ac.ir/resource/تاد_گارنر', 'http://fkg.iust.ac.ir/resource/مکس_الکساندر', 'http://fkg.iust.ac.ir/resource/شرلی_نایت', 'http://fkg.iust.ac.ir/resource/Lauren_Ash', 'http://fkg.iust.ac.ir/resource/رینی_رادریگز', 'http://fkg.iust.ac.ir/resource/گری_والنتین', 'http://fkg.iust.ac.ir/resource/Deven_May', 'http://fkg.iust.ac.ir/resource/استیو_وین', 'http://fkg.iust.ac.ir/resource/دیوید_هنری', 'http://fkg.iust.ac.ir/resource/Delia_Sheppard', 'http://fkg.iust.ac.ir/resource/دنیلا_آلونسو', 'http://fkg.iust.ac.ir/resource/آنا_گستایر', 'http://fkg.iust.ac.ir/resource/Conrad_Goode', 'http://fkg.iust.ac.ir/resource/Adhir_Kalyan', 'http://fkg.iust.ac.ir/resource/Bas_Rutten', 'http://fkg.iust.ac.ir/resource/نیال_مک\u200cدوناف', 'http://fkg.iust.ac.ir/resource/کوین_جیمز', 'http://fkg.iust.ac.ir/resource/پائولا_تریکی', 'http://fkg.iust.ac.ir/resource/Vic_Dibitetto', 'http://fkg.iust.ac.ir/resource/لونی_لاو', 'http://fkg.iust.ac.ir/resource/لورنزو_جیمز_هنری', 'http://fkg.iust.ac.ir/resource/دی._بی._وودساید', 'http://fkg.iust.ac.ir/resource/جکی_سندلر', 'http://fkg.iust.ac.ir/resource/نیکولاس_تورتورو', 'http://fkg.iust.ac.ir/resource/پیتر_گرتی', 'http://fkg.iust.ac.ir/resource/شرلی_نایت', 'http://fkg.iust.ac.ir/resource/جکی_سندلر', 'http://fkg.iust.ac.ir/resource/جیما_مایز', ""http://fkg.iust.ac.ir/resource/Keir_O'Donnell"", 'http://fkg.iust.ac.ir/resource/اریک_آواری', 'http://fkg.iust.ac.ir/resource/Bas_Rutten', 'http://fkg.iust.ac.ir/resource/بابی_کاناوله', 'http://fkg.iust.ac.ir/resource/کوین_جیمز', 'http://fkg.iust.ac.ir/resource/آلن_کاورت', 'http://fkg.iust.ac.ir/resource/رینی_رادریگز', 'http://fkg.iust.ac.ir/resource/جیسون_الیس', 'http://fkg.iust.ac.ir/resource/آدام_فرارا']"
<ENT> در چه شهری قرار دارد ؟, گلدشت جمالیان در چه شهری قرار دارد ؟,"[('گلدشت', 'B_ent'), ('جمالیان', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",گلدشت جمالیان,['http://fkg.iust.ac.ir/resource/گلدشت_جمالیان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش زز و ماهرو', 'شهرستان الیگودرز']","['http://fkg.iust.ac.ir/resource/بخش_زز_و_ماهرو', 'http://fkg.iust.ac.ir/resource/شهرستان_الیگودرز']"
<ENT> در کجا به دنیا امده است؟, تنک ساید در کجا به دنیا امده است؟,"[('تنک', 'B_ent'), ('ساید', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",تنک ساید,['http://fkg.iust.ac.ir/resource/تنک_ساید'],ns0__birthPlace,"['سیدنی', 'استرالیا']","['http://fkg.iust.ac.ir/resource/سیدنی', 'http://fkg.iust.ac.ir/resource/استرالیا']"
<ENT> در کجا به دنیا امده است؟, هلن گاردنر در کجا به دنیا امده است؟,"[('هلن', 'B_ent'), ('گاردنر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",هلن گاردنر,['http://fkg.iust.ac.ir/resource/هلن_گاردنر'],ns0__birthPlace,"['بینگهمتون  نیویورک', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/بینگهمتون،_نیویورک', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
چه کسی تهیه کننده  <ENT> است ؟,چه کسی تهیه کننده راکنرولا است ؟,"[('چه', 'O'), ('کسی', 'O'), ('تهیه', 'O'), ('کننده', 'O'), ('راکنرولا', 'B_ent'), ('است', 'O'), ('؟', 'O')]",راکنرولا,['http://fkg.iust.ac.ir/resource/راکنرولا'],ns0__producer,"['جوئل سیلور', 'سوزان داونی', 'گای ریچی']","['http://fkg.iust.ac.ir/resource/جوئل_سیلور', 'http://fkg.iust.ac.ir/resource/سوزان_داونی', 'http://fkg.iust.ac.ir/resource/گای_ریچی']"
چه کسی نویسنده <ENT> است ؟‌,چه کسی نویسنده کلاه شاپو است ؟‌,"[('چه', 'O'), ('کسی', 'O'), ('نویسنده', 'O'), ('کلاه', 'B_ent'), ('شاپو', 'I_ent'), ('است', 'O'), ('؟\u200c', 'O')]",کلاه شاپو,['http://fkg.iust.ac.ir/resource/کلاه_شاپو_(فیلم)'],ns0__writer,"['بیلی وایلدر', 'آی ای ال دایموند', 'تام ترایون']","['http://fkg.iust.ac.ir/resource/بیلی_وایلدر', 'http://fkg.iust.ac.ir/resource/آی_ای_ال_دایموند', 'http://fkg.iust.ac.ir/resource/تام_ترایون']"
<ENT> در کجا از دنیا رفت ؟, ریکاردو فلنی در کجا از دنیا رفت ؟,"[('ریکاردو', 'B_ent'), ('فلنی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('از', 'O'), ('دنیا', 'O'), ('رفت', 'O'), ('؟', 'O')]",ریکاردو فلنی,['http://fkg.iust.ac.ir/resource/ریکاردو_فلنی'],ns0__deathPlace,"['ایتالیا', 'لاتزیو', 'رم']","['http://fkg.iust.ac.ir/resource/ایتالیا', 'http://fkg.iust.ac.ir/resource/لاتزیو', 'http://fkg.iust.ac.ir/resource/رم']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در شام عروسی نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('شام', 'B_ent'), ('عروسی', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",شام عروسی,['http://fkg.iust.ac.ir/resource/شام_عروسی'],ns0__starring,"['امین حیایی', 'مارال فرجاد', 'محسن غلامی', 'جمشید شاه محمدی  بازیگر', 'پرویز شفیع زاده', 'بهاره سپاهی', 'سهیل فروهر', 'محمدرضا هدایتی', 'سیروس ابراهیم زاده', 'ژیلا سهرابی', 'رزا آرایش', 'آرش لطیفی بنماران', 'کوروش معصومی', 'محمود بنفشه خواه', 'هوشنگ قوانلو', 'عارف لرستانی', 'پویا امینی', 'ارژنگ امیرفضلی', 'فرید ولی زاده', 'ارسلان قاسمی', 'نیکی کریمی']","['http://fkg.iust.ac.ir/resource/امین_حیایی', 'http://fkg.iust.ac.ir/resource/مارال_فرجاد', 'http://fkg.iust.ac.ir/resource/محسن_غلامی', 'http://fkg.iust.ac.ir/resource/جمشید_شاه\u200cمحمدی_(بازیگر)', 'http://fkg.iust.ac.ir/resource/پرویز_شفیع\u200cزاده', 'http://fkg.iust.ac.ir/resource/بهاره_سپاهی', 'http://fkg.iust.ac.ir/resource/سهیل_فروهر', 'http://fkg.iust.ac.ir/resource/محمدرضا_هدایتی', 'http://fkg.iust.ac.ir/resource/سیروس_ابراهیم\u200cزاده', 'http://fkg.iust.ac.ir/resource/ژیلا_سهرابی', 'http://fkg.iust.ac.ir/resource/رزا_آرایش', 'http://fkg.iust.ac.ir/resource/آرش_لطیفی\u200cبنماران', 'http://fkg.iust.ac.ir/resource/کوروش_معصومی', 'http://fkg.iust.ac.ir/resource/محمود_بنفشه\u200cخواه', 'http://fkg.iust.ac.ir/resource/هوشنگ_قوانلو', 'http://fkg.iust.ac.ir/resource/عارف_لرستانی', 'http://fkg.iust.ac.ir/resource/پویا_امینی', 'http://fkg.iust.ac.ir/resource/ارژنگ_امیرفضلی', 'http://fkg.iust.ac.ir/resource/فرید_ولی\u200cزاده', 'http://fkg.iust.ac.ir/resource/ارسلان_قاسمی', 'http://fkg.iust.ac.ir/resource/نیکی_کریمی']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ آرتور بریجت کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('آرتور', 'B_ent'), ('بریجت', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",آرتور بریجت,['http://fkg.iust.ac.ir/resource/آرتور_بریجت'],ns0__deathPlace,"['نیوکاسل آندر لایم', 'انگلستان']","['http://fkg.iust.ac.ir/resource/نیوکاسل-آندر-لایم', 'http://fkg.iust.ac.ir/resource/انگلستان']"
<ENT> به کدام تیره تعلق دارد؟, کبوتر خاکی ارغوانی به کدام تیره تعلق دارد؟,"[('کبوتر', 'B_ent'), ('خاکی', 'I_ent'), ('ارغوانی', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",کبوتر خاکی ارغوانی,['http://fkg.iust.ac.ir/resource/کبوتر_خاکی_ارغوانی'],ns0__order_&_ns0__family_&_ns0__genus,"['کبوترسانان', 'کبوتر', 'کبوتر خاکی  سرده']","['http://fkg.iust.ac.ir/resource/کبوترسانان', 'http://fkg.iust.ac.ir/resource/کبوتر', 'http://fkg.iust.ac.ir/resource/کبوتر_خاکی_(سرده)']"
ستاره معروف <ENT> کیست ؟,ستاره معروف  پادشاهی سیمبا کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('پادشاهی', 'B_ent'), ('سیمبا', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]", پادشاهی سیمبا,['http://fkg.iust.ac.ir/resource/شیرشاه_۲:_پادشاهی_سیمبا'],ns0__starring,"['مویرا کلی', 'متیو برودریک', 'اندی دیک', 'سوزان پلشت', 'جنیفر لین', 'ناتان لین', 'رابرت گویلام', 'جیسون مارسدن', 'نو کمبل']","['http://fkg.iust.ac.ir/resource/مویرا_کلی', 'http://fkg.iust.ac.ir/resource/متیو_برودریک', 'http://fkg.iust.ac.ir/resource/اندی_دیک', 'http://fkg.iust.ac.ir/resource/سوزان_پلشت', 'http://fkg.iust.ac.ir/resource/جنیفر_لین', 'http://fkg.iust.ac.ir/resource/ناتان_لین', 'http://fkg.iust.ac.ir/resource/رابرت_گویلام', 'http://fkg.iust.ac.ir/resource/جیسون_مارسدن', 'http://fkg.iust.ac.ir/resource/نو_کمبل']"
<ENT> در کجا متولد شد ؟, رابرت اف. بویل در کجا متولد شد ؟,"[('رابرت', 'B_ent'), ('اف.', 'I_ent'), ('بویل', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",رابرت اف. بویل,['http://fkg.iust.ac.ir/resource/رابرت_اف._بویل'],ns0__birthPlace,"['کالیفرنیا', 'لس آنجلس', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/کالیفرنیا', 'http://fkg.iust.ac.ir/resource/لس_آنجلس', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
زادگاه  <ENT> کجاست ؟‌,زادگاه آنجل سامرز کجاست ؟‌,"[('زادگاه', 'O'), ('آنجل', 'B_ent'), ('سامرز', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",آنجل سامرز,['http://fkg.iust.ac.ir/resource/آنجل_سامرز'],ns0__birthPlace,['شارتر'],['http://fkg.iust.ac.ir/resource/شارتر']
گرایش اکادمیک <ENT> چیست ؟,گرایش اکادمیک مکس ثایلر چیست ؟,"[('گرایش', 'O'), ('اکادمیک', 'O'), ('مکس', 'B_ent'), ('ثایلر', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",مکس ثایلر,['http://fkg.iust.ac.ir/resource/مکس_ثایلر'],ns0__academicDiscipline,['ویروس شناسی'],['http://fkg.iust.ac.ir/resource/ویروس\u200cشناسی']
